Timestamp,Milliseconds,X,Y,Z
2019-09-11 15:06:39,67902,1.4870453,9.282684,2.5030212
2019-09-11 15:06:39,67952,1.5540771,8.612305,2.0505219
2019-09-11 15:06:39,68002,1.4966125,9.507736,2.6418915
2019-09-11 15:06:39,68053,1.4846497,8.514145,1.8757477
2019-09-11 15:06:39,68102,1.542099,9.064804,2.3976746
2019-09-11 15:06:39,68153,1.4990082,8.4375305,1.9379883
2019-09-11 15:06:39,68202,1.5492859,10.03685,2.6897736
2019-09-11 15:06:39,68252,1.4176025,8.564423,1.9523621
2019-09-11 15:06:39,68302,1.5564728,10.111069,2.783142
2019-09-11 15:06:40,68353,1.4247894,8.368088,2.0481262
2019-09-11 15:06:40,68402,1.5708313,9.909958,2.570053
2019-09-11 15:06:40,68452,1.4678802,8.281906,2.0888214
2019-09-11 15:06:40,68503,1.5636597,9.943481,2.663437
2019-09-11 15:06:40,68552,1.4295807,8.459076,2.1678314
2019-09-11 15:06:40,68603,1.5444946,9.6753235,2.5341492
2019-09-11 15:06:40,68652,1.3673248,8.552444,2.1199493
2019-09-11 15:06:40,68702,1.5277405,9.598709,2.546112
2019-09-11 15:06:40,68752,1.4128265,8.873276,2.2683868
2019-09-11 15:06:40,68802,1.5253448,9.514923,2.41922
2019-09-11 15:06:40,68852,1.4247894,8.882843,2.3306427
2019-09-11 15:06:40,68903,1.5516815,9.452667,2.5078125
2019-09-11 15:06:40,68952,1.4918213,8.935516,2.3976746
2019-09-11 15:06:40,69002,1.5205536,9.167755,2.1893768
2019-09-11 15:06:40,69052,1.3840942,8.779892,2.41922
2019-09-11 15:06:40,69103,1.5229492,9.002563,2.2588196
2019-09-11 15:06:40,69152,1.4559174,9.407181,2.546112
2019-09-11 15:06:40,69203,1.5852051,8.906784,2.091217
2019-09-11 15:06:40,69252,1.4607086,9.428726,2.632309
2019-09-11 15:06:40,69303,1.5061951,8.324997,1.9619293
2019-09-11 15:06:41,69352,1.4750671,9.735184,2.6682281
2019-09-11 15:06:41,69402,1.513382,8.468643,1.8637695
2019-09-11 15:06:41,69453,1.5157776,10.355286,2.850174
2019-09-11 15:06:41,69502,1.4559174,8.425552,2.012207
2019-09-11 15:06:41,69553,1.5516815,10.187683,2.7208862
2019-09-11 15:06:41,69603,1.4702759,8.389648,1.9667206
2019-09-11 15:06:41,69652,1.518158,9.807007,2.6706085
2019-09-11 15:06:41,69702,1.4870453,8.322601,2.019394
2019-09-11 15:06:41,69752,1.5588684,10.058395,2.742447
2019-09-11 15:06:41,69803,1.482254,8.49498,1.8637695
2019-09-11 15:06:41,69852,1.5588684,10.130234,2.7711792
2019-09-11 15:06:41,69903,1.4702759,8.459076,2.0217896
2019-09-11 15:06:41,69952,1.5205536,10.11586,2.687378
2019-09-11 15:06:41,70003,1.4678802,8.401611,1.964325
2019-09-11 15:06:41,70053,1.542099,10.020096,2.7304688
2019-09-11 15:06:41,70102,1.5061951,8.176559,1.8948975
2019-09-11 15:06:41,70152,1.5157776,10.091919,2.7161102
2019-09-11 15:06:41,70203,1.4367676,8.425552,1.9810791
2019-09-11 15:06:41,70252,1.5468903,10.199661,2.8118744
2019-09-11 15:06:41,70302,1.3936615,8.356125,2.0337524
2019-09-11 15:06:42,70352,1.6067505,10.324158,2.8477936
2019-09-11 15:06:42,70403,1.4128265,8.320206,1.9068604
2019-09-11 15:06:42,70452,1.5468903,10.13501,2.7855377
2019-09-11 15:06:42,70502,1.4295807,8.250778,1.9355927
2019-09-11 15:06:42,70553,1.5947723,10.072769,2.6849823
2019-09-11 15:06:42,70602,1.3625488,8.229233,1.9451752
2019-09-11 15:06:42,70652,1.5468903,10.216415,2.826233
2019-09-11 15:06:42,70702,1.4511261,8.286697,2.0960083
2019-09-11 15:06:42,70753,1.5397186,10.350494,2.7998962
2019-09-11 15:06:42,70802,1.4607086,8.262756,1.8948975
2019-09-11 15:06:42,70852,1.561264,10.123047,2.8406067
2019-09-11 15:06:42,70903,1.4535217,8.265137,2.0074158
2019-09-11 15:06:42,70952,1.597168,10.020096,2.6706085
2019-09-11 15:06:42,71002,1.4702759,8.334579,1.9140472
2019-09-11 15:06:42,71053,1.5229492,10.266693,2.8166656
2019-09-11 15:06:42,71102,1.4319763,8.214859,1.9547424
2019-09-11 15:06:42,71153,1.5540771,10.21402,2.7927246
2019-09-11 15:06:42,71202,1.4487305,8.234024,1.8709564
2019-09-11 15:06:42,71252,1.5229492,10.230789,2.8573608
2019-09-11 15:06:42,71303,1.5109863,8.389648,1.9164429
2019-09-11 15:06:43,71352,1.5301361,9.87883,2.6682281
2019-09-11 15:06:43,71402,1.482254,8.315414,1.885315
2019-09-11 15:06:43,71452,1.3769073,9.354507,2.5916138
2019-09-11 15:06:43,71503,1.4726715,8.753555,2.019394
2019-09-11 15:06:43,71552,1.458313,8.863693,2.41922
2019-09-11 15:06:43,71602,1.5540771,8.899612,2.1127625
2019-09-11 15:06:43,71652,1.4223938,9.0312805,2.5078125
2019-09-11 15:06:43,71703,1.5564728,9.407181,2.474289
2019-09-11 15:06:43,71752,1.4654846,8.842148,2.2348633
2019-09-11 15:06:43,71802,1.4942169,9.117477,2.352188
2019-09-11 15:06:43,71852,1.3457794,8.473434,2.1606445
2019-09-11 15:06:43,71902,1.5468903,9.493362,2.5030212
2019-09-11 15:06:43,71953,1.4080353,8.660187,2.2827606
2019-09-11 15:06:43,72002,1.5588684,9.347321,2.3545837
2019-09-11 15:06:43,72053,1.5684357,9.862076,2.747223
2019-09-11 15:06:43,72102,1.5636597,8.964249,2.2133179
2019-09-11 15:06:43,72153,1.4176025,8.382462,2.1199493
2019-09-11 15:06:43,72202,1.5516815,9.28746,2.3473969
2019-09-11 15:06:43,72253,1.3816986,8.667374,2.2612
2019-09-11 15:06:43,72302,1.5804138,9.464645,2.5173798
2019-09-11 15:06:44,72352,1.4367676,8.990585,2.4024658
2019-09-11 15:06:44,72402,1.592392,9.598709,2.4599304
2019-09-11 15:06:44,72452,1.3912659,8.73201,2.2444458
2019-09-11 15:06:44,72503,1.597168,9.483795,2.57724
2019-09-11 15:06:44,72552,1.4128265,8.746384,2.3497925
2019-09-11 15:06:44,72602,1.5660553,9.162964,2.2205048
2019-09-11 15:06:44,72653,1.4080353,8.83017,2.4048615
2019-09-11 15:06:44,72702,1.5397186,9.210846,2.2659912
2019-09-11 15:06:44,72752,1.458313,9.2443695,2.5149994
2019-09-11 15:06:44,72803,1.4535217,8.746384,1.9906616
2019-09-11 15:06:44,72852,1.5061951,9.687302,2.711319
2019-09-11 15:06:44,72902,1.537323,8.662582,2.0098114
2019-09-11 15:06:44,72952,1.5708313,9.809402,2.73526
2019-09-11 15:06:44,73002,1.4726715,8.471039,1.8517914
2019-09-11 15:06:44,73053,1.5564728,9.79744,2.6203308
2019-09-11 15:06:44,73102,1.4726715,8.518936,2.0457306
2019-09-11 15:06:44,73152,1.513382,9.888412,2.6825867
2019-09-11 15:06:44,73203,1.5277405,8.4423065,1.9379883
2019-09-11 15:06:44,73252,1.4726715,10.099106,2.6993408
2019-09-11 15:06:44,73302,1.513382,8.260361,1.9308014
2019-09-11 15:06:45,73353,1.5253448,9.897995,2.6155548
2019-09-11 15:06:45,73402,1.4223938,8.401611,1.909256
2019-09-11 15:06:45,73452,1.5157776,10.295425,2.869339
2019-09-11 15:06:45,73502,1.4199982,8.346542,1.9834747
2019-09-11 15:06:45,73553,1.5229492,10.242752,2.7376556
2019-09-11 15:06:45,73602,1.3721161,8.57399,2.1558685
2019-09-11 15:06:45,73653,1.5995636,10.283463,2.7951202
2019-09-11 15:06:45,73702,1.4463348,8.375275,2.0505219
2019-09-11 15:06:45,73752,1.5804138,9.993759,2.632309
2019-09-11 15:06:45,73803,1.4678802,8.284302,1.9308014
2019-09-11 15:06:45,73852,1.5780182,10.225998,2.747223
2019-09-11 15:06:45,73902,1.4128265,8.293869,1.9763031
2019-09-11 15:06:45,73953,1.5492859,10.202057,2.7855377
2019-09-11 15:06:45,74002,1.3912659,8.327393,1.964325
2019-09-11 15:06:45,74052,1.5253448,10.053619,2.7208862
2019-09-11 15:06:45,74103,1.403244,8.322601,2.055313
2019-09-11 15:06:45,74152,1.5780182,9.977005,2.6730042
2019-09-11 15:06:45,74202,1.4247894,8.423157,2.0457306
2019-09-11 15:06:45,74253,1.5253448,10.039246,2.7855377
2019-09-11 15:06:45,74302,1.4199982,8.303452,2.0002441
2019-09-11 15:06:46,74352,1.5468903,9.897995,2.6179504
2019-09-11 15:06:46,74403,1.3553619,8.430344,2.1175537
2019-09-11 15:06:46,74452,1.6043549,9.6035,2.5341492
2019-09-11 15:06:46,74502,1.4487305,8.387253,2.122345
2019-09-11 15:06:46,74553,1.5349274,9.9123535,2.6371002
2019-09-11 15:06:46,74602,1.4439392,8.375275,2.0624847
2019-09-11 15:06:46,74653,1.6235046,9.902771,2.5939941
2019-09-11 15:06:46,74702,1.379303,8.49498,2.1726227
2019-09-11 15:06:46,74753,1.5588684,9.955444,2.57724
2019-09-11 15:06:46,74802,1.3984528,8.49498,2.0888214
2019-09-11 15:06:46,74853,1.5684357,9.763916,2.6658325
2019-09-11 15:06:46,74902,1.4080353,8.609909,2.170227
2019-09-11 15:06:46,74953,1.5708313,9.852493,2.5580902
2019-09-11 15:06:46,75002,1.3816986,8.447098,2.060089
2019-09-11 15:06:46,75053,1.6330872,9.768707,2.6131592
2019-09-11 15:06:46,75102,1.4199982,8.39682,2.0960083
2019-09-11 15:06:46,75152,1.5636597,9.6202545,2.4335938
2019-09-11 15:06:46,75211,1.4750671,8.53569,1.9308014
2019-09-11 15:06:46,75252,1.5636597,9.699265,2.5916138
2019-09-11 15:06:46,75303,1.3936615,8.612305,2.237259
2019-09-11 15:06:47,75354,1.5660553,9.502945,2.371338
2019-09-11 15:06:47,75403,1.4415436,8.408798,2.1055908
2019-09-11 15:06:47,75452,1.6187134,9.522095,2.5485077
2019-09-11 15:06:47,75502,1.4104309,8.6553955,2.237259
2019-09-11 15:06:47,75552,1.5708313,9.93869,2.6035767
2019-09-11 15:06:47,75603,1.3625488,8.516541,2.1175537
2019-09-11 15:06:47,75652,1.5780182,9.562805,2.553299
2019-09-11 15:06:47,75702,1.3864899,8.516541,2.1271362
2019-09-11 15:06:47,75752,1.561264,9.716034,2.5078125
2019-09-11 15:06:47,75803,1.4008484,8.351334,2.0289764
2019-09-11 15:06:47,75852,1.5636597,9.888412,2.5796356
2019-09-11 15:06:47,75903,1.4223938,8.243591,2.122345
2019-09-11 15:06:47,75952,1.5828094,9.672928,2.5748444
2019-09-11 15:06:47,76003,1.3433838,8.375275,1.9786987
2019-09-11 15:06:47,76052,1.518158,9.960236,2.7017365
2019-09-11 15:06:47,76102,1.3912659,8.296265,1.9906616
2019-09-11 15:06:47,76153,1.5564728,10.048828,2.6753998
2019-09-11 15:06:47,76202,1.4391632,8.322601,1.878128
2019-09-11 15:06:47,76253,1.5564728,9.332962,2.4599304
2019-09-11 15:06:47,76302,1.4391632,8.281906,1.9427795
2019-09-11 15:06:48,76352,1.5397186,10.29303,2.8118744
2019-09-11 15:06:48,76403,1.4750671,8.380066,1.8925018
2019-09-11 15:06:48,76452,1.5397186,10.139801,2.766388
2019-09-11 15:06:48,76503,1.4990082,8.099945,1.8087006
2019-09-11 15:06:48,76552,1.5301361,10.23317,2.7687836
2019-09-11 15:06:48,76602,1.4870453,8.291473,1.8925018
2019-09-11 15:06:48,76653,1.4894409,10.17572,2.8118744
2019-09-11 15:06:48,76702,1.4535217,8.351334,1.9691162
2019-09-11 15:06:48,76752,1.5037994,9.857285,2.7065277
2019-09-11 15:06:48,76802,1.4654846,8.351334,1.8158875
2019-09-11 15:06:48,76852,1.4846497,9.974609,2.790329
2019-09-11 15:06:48,76902,1.4942169,8.250778,1.9308014
2019-09-11 15:06:48,76952,1.4990082,9.546036,2.57724
2019-09-11 15:06:48,77002,1.5061951,8.37767,1.8446198
2019-09-11 15:06:48,77052,1.4439392,9.471817,2.6131592
2019-09-11 15:06:48,77103,1.4942169,8.499771,2.019394
2019-09-11 15:06:48,77152,1.482254,9.763916,2.6610413
2019-09-11 15:06:48,77202,1.3984528,8.605118,1.9403839
2019-09-11 15:06:48,77253,1.5061951,9.936295,2.8190613
2019-09-11 15:06:48,77302,1.4798584,8.344147,1.9068604
2019-09-11 15:06:49,77352,1.5061951,9.706451,2.7161102
2019-09-11 15:06:49,77402,1.4750671,8.626663,1.9284058
2019-09-11 15:06:49,77453,1.4726715,9.598709,2.7687836
2019-09-11 15:06:49,77502,1.4295807,8.375275,1.8996887
2019-09-11 15:06:49,77552,1.5085907,9.962631,2.8286285
2019-09-11 15:06:49,77603,1.4511261,8.487808,1.9044647
2019-09-11 15:06:49,77652,1.5014038,9.8333435,2.7256775
2019-09-11 15:06:49,77702,1.5229492,8.49498,1.9978485
2019-09-11 15:06:49,77752,1.5205536,9.70166,2.5844269
2019-09-11 15:06:49,77803,1.5229492,8.478226,1.9188385
2019-09-11 15:06:49,77852,1.4942169,10.029663,2.711319
2019-09-11 15:06:49,77902,1.513382,8.688919,2.0960083
2019-09-11 15:06:49,77953,1.513382,10.230789,2.7639923
2019-09-11 15:06:49,78002,1.4056396,8.447098,1.8661652
2019-09-11 15:06:49,78052,1.4894409,9.730392,2.7185059
2019-09-11 15:06:49,78102,1.5253448,8.415985,1.9619293
2019-09-11 15:06:49,78153,1.5301361,10.053619,2.7807465
2019-09-11 15:06:49,78202,1.434372,8.245987,1.8685608
2019-09-11 15:06:49,78253,1.5205536,10.211624,2.8190613
2019-09-11 15:06:49,78302,1.4080353,8.262756,1.9475708
2019-09-11 15:06:50,78352,1.518158,10.235565,2.680191
2019-09-11 15:06:50,78402,1.4750671,8.447098,1.9619293
2019-09-11 15:06:50,78453,1.5516815,10.039246,2.6610413
2019-09-11 15:06:50,78502,1.4750671,8.471039,2.0816345
2019-09-11 15:06:50,78552,1.5852051,9.866867,2.5868225
2019-09-11 15:06:50,78602,1.4008484,8.533295,2.1055908
2019-09-11 15:06:50,78652,1.5468903,9.596313,2.541336
2019-09-11 15:06:50,78703,1.434372,8.787079,2.3234558
2019-09-11 15:06:50,78752,1.4774628,8.842148,2.1558685
2019-09-11 15:06:50,78802,1.4918213,9.737579,2.6753998
2019-09-11 15:06:50,78852,1.4774628,8.664978,2.0289764
2019-09-11 15:06:50,78902,1.482254,10.230789,2.8190613
2019-09-11 15:06:50,78952,1.4152069,8.408798,1.9595337
2019-09-11 15:06:50,79002,1.5684357,9.897995,2.687378
2019-09-11 15:06:50,79053,1.3984528,8.408798,2.1367035
2019-09-11 15:06:50,79102,1.5085907,9.170151,2.237259
2019-09-11 15:06:50,79152,1.5061951,9.162964,2.4000702
2019-09-11 15:06:50,79203,1.5397186,8.401611,2.0289764
2019-09-11 15:06:50,79252,1.5660553,10.106277,2.711319
2019-09-11 15:06:50,79302,1.4223938,8.169373,1.9810791
2019-09-11 15:06:51,79352,1.5564728,9.663361,2.570053
2019-09-11 15:06:51,79403,1.4152069,8.404007,2.1007996
2019-09-11 15:06:51,79452,1.5349274,8.9474945,2.1965637
2019-09-11 15:06:51,79502,1.4654846,9.883621,2.7137146
2019-09-11 15:06:51,79552,1.3912659,8.29866,2.055313
2019-09-11 15:06:51,79603,1.5899963,10.101501,2.5987854
2019-09-11 15:06:51,79652,1.3984528,8.720047,2.2588196
2019-09-11 15:06:51,79703,1.5349274,8.854111,2.1917725
2019-09-11 15:06:51,79752,1.5588684,10.19487,2.7400513
2019-09-11 15:06:51,79802,1.4295807,8.420761,2.074463
2019-09-11 15:06:51,79852,1.482254,8.75116,2.170227
2019-09-11 15:06:51,79903,1.5492859,10.010513,2.6538544
2019-09-11 15:06:51,79952,1.4391632,8.483017,2.0050201
2019-09-11 15:06:51,80003,1.5444946,9.486191,2.49823
2019-09-11 15:06:51,80052,1.5037994,9.632233,2.546112
2019-09-11 15:06:51,80102,1.4535217,8.356125,2.0169983
2019-09-11 15:06:51,80152,1.597168,9.689697,2.541336
2019-09-11 15:06:51,80203,1.3984528,8.478226,2.2061462
2019-09-11 15:06:51,80252,1.4391632,8.47583,1.9140472
2019-09-11 15:06:51,80302,1.5876007,9.8333435,2.57724
2019-09-11 15:06:52,80353,1.3960571,8.4925995,2.249237
2019-09-11 15:06:52,80402,1.5852051,9.107895,2.2205048
2019-09-11 15:06:52,80452,1.5205536,9.869263,2.7065277
2019-09-11 15:06:52,80503,1.4678802,8.423157,2.0816345
2019-09-11 15:06:52,80552,1.5277405,9.064804,2.1558685
2019-09-11 15:06:52,80602,1.5157776,9.579559,2.5820312
2019-09-11 15:06:52,80652,1.4463348,8.748779,2.1007996
2019-09-11 15:06:52,80703,1.5014038,9.663361,2.5987854
2019-09-11 15:06:52,80752,1.4702759,8.913971,2.158249
2019-09-11 15:06:52,80802,1.4367676,9.220428,2.3809204
2019-09-11 15:06:52,80853,1.513382,9.416748,2.5126038
2019-09-11 15:06:52,80902,1.4990082,8.77272,2.122345
2019-09-11 15:06:52,80952,1.5037994,9.593918,2.5748444
2019-09-11 15:06:52,81003,1.4846497,8.990585,2.2181091
2019-09-11 15:06:52,81052,1.4391632,8.873276,2.41922
2019-09-11 15:06:52,81102,1.4942169,9.581955,2.6897736
2019-09-11 15:06:52,81153,1.4870453,8.667374,1.8182831
2019-09-11 15:06:52,81202,1.4463348,9.344925,2.4407654
2019-09-11 15:06:52,81253,1.4607086,9.000168,2.1965637
2019-09-11 15:06:52,81302,1.5085907,9.282684,2.541336
2019-09-11 15:06:53,81352,1.5492859,9.613083,2.491043
2019-09-11 15:06:53,81403,1.5085907,8.815811,2.0529175
2019-09-11 15:06:53,81452,1.5349274,9.538864,2.5317535
2019-09-11 15:06:53,81502,1.3816986,8.559631,2.1965637
2019-09-11 15:06:53,81553,1.5732269,9.450272,2.4838715
2019-09-11 15:06:53,81602,1.4631042,8.842148,2.2683868
2019-09-11 15:06:53,81653,1.5540771,9.526886,2.4144287
2019-09-11 15:06:53,81702,1.4726715,9.062408,2.5341492
2019-09-11 15:06:53,81752,1.4942169,9.447876,2.4958344
2019-09-11 15:06:53,81802,1.5301361,9.704056,2.541336
2019-09-11 15:06:53,81853,1.4607086,9.045654,2.2229004
2019-09-11 15:06:53,81902,1.5014038,9.579559,2.5724487
2019-09-11 15:06:53,81952,1.4559174,8.564423,2.1845856
2019-09-11 15:06:53,82002,1.5229492,9.665756,2.4647217
2019-09-11 15:06:53,82053,1.4654846,8.688919,2.292328
2019-09-11 15:06:53,82102,1.5876007,9.500549,2.443161
2019-09-11 15:06:53,82152,1.4678802,8.7894745,2.1630402
2019-09-11 15:06:53,82202,1.4774628,9.129456,2.3210602
2019-09-11 15:06:53,82253,1.4726715,9.63942,2.5844269
2019-09-11 15:06:53,82302,1.4247894,8.49498,2.1678314
2019-09-11 15:06:54,82352,1.5229492,9.835739,2.5245667
2019-09-11 15:06:54,82402,1.3984528,8.715256,2.2468414
2019-09-11 15:06:54,82453,1.5061951,9.431122,2.4479523
2019-09-11 15:06:54,82502,1.4223938,9.40239,2.4455566
2019-09-11 15:06:54,82552,1.4942169,8.779892,2.1965637
2019-09-11 15:06:54,82602,1.5349274,9.598709,2.5580902
2019-09-11 15:06:54,82653,1.4080353,8.746384,2.2061462
2019-09-11 15:06:54,82702,1.5037994,9.069595,2.3234558
2019-09-11 15:06:54,82752,1.5301361,9.658569,2.4766846
2019-09-11 15:06:54,82802,1.4750671,8.504562,2.1798096
2019-09-11 15:06:54,82852,1.5852051,9.591537,2.4096527
2019-09-11 15:06:54,82902,1.5277405,8.997772,2.4024658
2019-09-11 15:06:54,82953,1.5014038,9.038467,2.2899323
2019-09-11 15:06:54,83002,1.537323,9.510132,2.4838715
2019-09-11 15:06:54,83052,1.4367676,8.392029,2.2396545
2019-09-11 15:06:54,83103,1.5684357,9.46225,2.371338
2019-09-11 15:06:54,83152,1.5109863,9.218033,2.4694977
2019-09-11 15:06:54,83202,1.4607086,8.653,2.1414948
2019-09-11 15:06:54,83253,1.518158,9.586746,2.4575348
2019-09-11 15:06:54,83302,1.4535217,8.739197,2.2755737
2019-09-11 15:06:55,83352,1.4199982,8.775101,2.1486816
2019-09-11 15:06:55,83402,1.5708313,9.629837,2.5844269
2019-09-11 15:06:55,83452,1.4223938,8.6553955,2.1869812
2019-09-11 15:06:55,83503,1.5253448,9.450272,2.3306427
2019-09-11 15:06:55,83552,1.5684357,9.596313,2.5628815
